,site_name,name,genus_species,genus,species,body_part,year_found,likely_age,minimum_age,maximum_age,discoverers,citation_group,notes,lon,lat
67,"Laetoli, Tanzaia ",LH 10,Australopithecus afarensis ,Australopithecus,afarensis ,mandible and teeth,1974,NA,3.59,3.77,E. Kandindi,11,some discovered in 1975 but unclear which,35.7516069,-6.162959
68,"Laetoli, Tanzaia ",LH 11,Australopithecus afarensis ,Australopithecus,afarensis ,teeth,1974,NA,3.59,3.77,E. Kandindi,11,some discovered in 1975 but unclear which,35.7516069,-6.162959
69,"Laetoli, Tanzaia ",LH 12,Australopithecus afarensis ,Australopithecus,afarensis ,teeth,1974,NA,3.59,3.77,E. Kandindi,11,some discovered in 1975 but unclear which,35.7516069,-6.162959
70,"Laetoli, Tanzaia ",LH 13,Australopithecus afarensis ,Australopithecus,afarensis ,mandible,1974,NA,3.59,3.77,M. Jackers,11,some discovered in 1975 but unclear which,35.7516069,-6.162959
71,"Laetoli, Tanzaia ",LH 14,Australopithecus afarensis ,Australopithecus,afarensis ,teeth,1974,NA,3.59,3.77,E. Kandindi ,11,some discovered in 1975 but unclear which,35.7516069,-6.162959
72,"Koro Toro, Chad",KT-12,Australopithecus bahreighazali,Australopithecus,bahreighazali,teeth and mandible,1993,NA,3,3.5,Michel Brunet,12,NA,18.4788045,16.0766425
73,"Lake Turkana, Kenya",KNM-WT 4000,Kenyanthropus platyops,Kenyanthropus,platyops,cranium,1999,NA,3.3,3.6,Justus Erus,13,NA,36.0022946,3.6267946
74,"Kikika, Ethiopia ",Dik-1,Australopithecus afarensis ,Australopithecus,afarensis ,cranium,2000,NA,3.31,3.35,Zeresenay Alemseged,14,excavated from 2000-2003,-117.9294061,33.8707936
75,"Sterkfontein, South Africa",StW 573,Australopithecus  prometheus,Australopithecus, prometheus,complete,1997,3.67,2.2,3.67,Ronald J. Clark,15,newer studies indicate higher ages around 3.67,29.6006511,-25.0468118
76,"Hadar formation, Ethiopia ",AL-288-1,Australopithecus afarensis ,Australopithecus,afarensis ,complete,1974,NA,3.18,3.2,Tom Gray and Donald Johnson,16,NA,-77.0260654,38.8912662
77,"Woranso-Mille, Ethiopia",BRT-VP-1/1,Australopithecus deyiremeda,Australopithecus,deyiremeda,teeth,2006,NA,3.3,3.5,K. Helem,17,NA,-81.6128836,41.511524
