,site_name,name,genus_species,genus,species,body_part,year_found,likely_age,minimum_age,maximum_age,discoverers,citation_group,notes,lon,lat
1,"Pyrgos Vasilissis Amalia, Athens, Greece",type specimen,Graecopithecus freybergi,Graecopithecus,freybergi,mandible,1944,7.175,NA,NA,B. von Freyberg,1,name never explicitely given,23.7216315,38.0415273
2,"Azmaka, Chirpan, Bulgaria",RIM 438/387,Graecopithecus freybergi,Graecopithecus,freybergi,teeth ,2010,7.24,NA,NA,"N. Spassov, D. Geraads, L. Hristova, G.N. Markov, G. Merceron, T. Tzankov , K. Stoyanov, M. Böhme, A. Dimitrova",2,NA,25.3248541,42.2020702
3,"Djurab Desert, Chad",TM 266-01-060-1,Orrorin  tugenensis,Orrorin ,tugenensis,cranium,2001,NA,6,7,"Michel Brunet, Alain Beauvilain, Fanone Gongdibe, Mahamat Adoum and Ahounta Djimdoumalbaye",3,NA,18.9996897,15.0020708
4,"Djurab Desert, Chad",TM 266-01-060-2,Orrorin  tugenensis,Orrorin ,tugenensis,mandible,2001,NA,6,7,"Michel Brunet, Alain Beauvilain, Fanone Gongdibe, Mahamat Adoum and Ahounta Djimdoumalbaye",3,NA,18.9996897,15.0020708
5,"Djurab Desert, Chad",TM 266-01-447,Orrorin  tugenensis,Orrorin ,tugenensis,teeth ,2001,NA,6,7,"Michel Brunet, Alain Beauvilain, Fanone Gongdibe, Mahamat Adoum and Ahounta Djimdoumalbaye",3,NA,18.9996897,15.0020708
6,"Djurab Desert, Chad",TM 266-01-448,Orrorin  tugenensis,Orrorin ,tugenensis,teeth ,2001,NA,6,7,"Michel Brunet, Alain Beauvilain, Fanone Gongdibe, Mahamat Adoum and Ahounta Djimdoumalbaye",3,NA,18.9996897,15.0020708
7,"Djurab Desert, Chad",TM 266-02-154-1,Orrorin  tugenensis,Orrorin ,tugenensis,mandible,2002,NA,6,7,"Michel Brunet, Alain Beauvilain, Fanone Gongdibe, Mahamat Adoum and Ahounta Djimdoumalbaye",3,NA,18.9996897,15.0020708
8,"Djurab Desert, Chad",TM 266-02-154-2,Orrorin  tugenensis,Orrorin ,tugenensis,teeth ,2002,NA,6,7,"Michel Brunet, Alain Beauvilain, Fanone Gongdibe, Mahamat Adoum and Ahounta Djimdoumalbaye",3,NA,18.9996897,15.0020708
9,"middle awash, ethiopia",AME-VP-1/71,Ardipithicus kadabba,Ardipithicus,kadabba,foot,1999,NA,5.2,5.8,L. Hlusko,4,NA,39.9997991,9.9999553
10,"middle awash, ethiopia",ALA-VP-2/10,Ardipithicus kadabba,Ardipithicus,kadabba,mandible,1997,NA,5.2,5.8,Yohannes Haile-Selassie,4,NA,39.9997991,9.9999553
11,"middle awash, ethiopia",ALA-VP-2/11,Ardipithicus kadabba,Ardipithicus,kadabba,hand,1997,NA,5.2,5.8,S. Eschete,4,NA,39.9997991,9.9999553
12,"middle awash, ethiopia",ALA-VP-2/101,Ardipithicus kadabba,Ardipithicus,kadabba,humerous and ulna,1999,NA,5.2,5.8,T. White,4,NA,39.9997991,9.9999553
13,"middle awash, ethiopia",ASK-VP-3/78,Ardipithicus kadabba,Ardipithicus,kadabba,humerous,1998,NA,5.2,5.8,Yohannes Haile-Selassie,4,NA,39.9997991,9.9999553
14,"middle awash, ethiopia",ASK-VP-3/160,Ardipithicus kadabba,Ardipithicus,kadabba,teeth ,2001,NA,5.2,5.8,Yohannes Haile-Selassie group,4,NA,39.9997991,9.9999553
15,"middle awash, ethiopia",DID-VP-1/80,Ardipithicus kadabba,Ardipithicus,kadabba,hand,1998,NA,5.2,5.8,M. Humed,4,NA,39.9997991,9.9999553
16,"middle awash, ethiopia",STD-VP-2/61,Ardipithicus kadabba,Ardipithicus,kadabba,teeth ,1998,NA,5.2,5.8,Yohannes Haile-Selassie,4,NA,39.9997991,9.9999553
17,"middle awash, ethiopia",STD-VP-2/62,Ardipithicus kadabba,Ardipithicus,kadabba,teeth ,1998,NA,5.2,5.8,Yohannes Haile-Selassie ,4,NA,39.9997991,9.9999553
18,"middle awash, ethiopia",STD-VP-2/63,Ardipithicus kadabba,Ardipithicus,kadabba,teeth ,1998,NA,5.2,5.8,Yohannes Haile-Selassie group,4,NA,39.9997991,9.9999553
19,"middle awash, ethiopia",STD-VP-2/893,Ardipithicus kadabba,Ardipithicus,kadabba,clavicle,1998,NA,5.2,5.8,Yohannes Haile-Selassie,4,NA,39.9997991,9.9999553
20,"Lake Turkana, Kenya",KNM-LT 329,Australopithecus anamensis,Australopithecus,anamensis,mandible,1967,NA,5.2,4.2,"Arnold Lewis, Bryan Patterson",6,NA,36.0022946,3.6267946
21,"Allia Bay, Kenya",KNM-ER 30731,Australopithecus anamensis,Australopithecus,anamensis,teeth ,1995,NA,4.07,4.17,excavators,9,NA,36.0022946,3.6267946
22,"Allia Bay, Kenya",KNM-ER 30744,Australopithecus anamensis,Australopithecus,anamensis,teeth ,1996,NA,4.07,4.17,excavators,9,NA,36.0022946,3.6267946
23,"Allia Bay, Kenya",KNM-ER 30745,Australopithecus anamensis,Australopithecus,anamensis,maxilla,1996,NA,4.07,4.17,excavators,9,NA,36.0022946,3.6267946
24,"Allia Bay, Kenya",KNM-ER 30750,Australopithecus anamensis,Australopithecus,anamensis,teeth ,1996,NA,4.07,4.17,excavators,9,NA,36.0022946,3.6267946
25,"Allia Bay, Kenya",KNM-ER 35228,Australopithecus anamensis,Australopithecus,anamensis,teeth ,1997,NA,4.07,4.17,excavators,9,NA,36.0022946,3.6267946
26,"Allia Bay, Kenya",KNM-ER 35231,Australopithecus anamensis,Australopithecus,anamensis,teeth ,1997,NA,4.07,4.17,excavators,9,NA,36.0022946,3.6267946
27,"Allia Bay, Kenya",KNM-ER 35232,Australopithecus anamensis,Australopithecus,anamensis,teeth ,1997,NA,4.07,4.17,excavators,9,NA,36.0022946,3.6267946
28,"Allia Bay, Kenya",KNM-ER 35233,Australopithecus anamensis,Australopithecus,anamensis,teeth ,1997,NA,4.07,4.17,excavators,9,NA,36.0022946,3.6267946
29,"Allia Bay, Kenya",KNM-ER 35235,Australopithecus anamensis,Australopithecus,anamensis,teeth ,1997,NA,4.07,4.17,excavators,9,NA,36.0022946,3.6267946
30,"Allia Bay, Kenya",KNM-ER 35236,Australopithecus anamensis,Australopithecus,anamensis,teeth ,1997,NA,4.07,4.17,excavators,9,NA,36.0022946,3.6267946
31,"Allia Bay, Kenya",KNM-ER 35238,Australopithecus anamensis,Australopithecus,anamensis,teeth ,1997,NA,4.07,4.17,excavators,9,NA,36.0022946,3.6267946
32,"Kanapoi, Kenya",KNM-KP 29283,Australopithecus anamensis,Australopithecus,anamensis,teeth ,1997,NA,4.07,4.17,excavators,9,NA,34.6531907,1.0637125
33,"Kanapoi, Kenya",KNM-KP 29287,Australopithecus anamensis,Australopithecus,anamensis,mandible,1994,NA,4.07,4.17,M. Leakey,9,NA,34.6531907,1.0637125
