site_name,name,genus,species,body_part,year_found,likely_age,minimum_age,maximum_age,discoverers,citation_group,notes
"middle awash, ethiopia",ALA-VP-2/101,Ardipithicus,kadabba,humerous and ulna,1999,,5.2,5.8,T. White,4,
"middle awash, ethiopia",ASK-VP-3/78,Ardipithicus,kadabba,humerous,1998,,5.2,5.8,Yohannes Haile-Selassie,4,
"middle awash, ethiopia",ASK-VP-3/160,Ardipithicus,kadabba,teeth ,2001,,5.2,5.8,Yohannes Haile-Selassie group,4,
"middle awash, ethiopia",DID-VP-1/80,Ardipithicus,kadabba,hand,1998,,5.2,5.8,M. Humed,4,
"middle awash, ethiopia",STD-VP-2/61,Ardipithicus,kadabba,teeth ,1998,,5.2,5.8,Yohannes Haile-Selassie,4,
"middle awash, ethiopia",STD-VP-2/62,Ardipithicus,kadabba,teeth ,1998,,5.2,5.8,Yohannes Haile-Selassie ,4,
"middle awash, ethiopia",STD-VP-2/63,Ardipithicus,kadabba,teeth ,1998,,5.2,5.8,Yohannes Haile-Selassie group,4,
"middle awash, ethiopia",STD-VP-2/893,Ardipithicus,kadabba,clavicle,1998,,5.2,5.8,Yohannes Haile-Selassie,4,
"Lake Turkana, Kenya",KNM-LT 329,Australopithecus,anamensis,mandible,1967,,5.2,4.2,"Arnold Lewis, Bryan Patterson",6,
"Allia Bay, Kenya",KNM-ER 30731,Australopithecus,anamensis,teeth ,1995,,4.07,4.17,excavators,9,
"Allia Bay, Kenya",KNM-ER 30744,Australopithecus,anamensis,teeth ,1996,,4.07,4.17,excavators,9,
"Allia Bay, Kenya",KNM-ER 30745,Australopithecus,anamensis,maxilla,1996,,4.07,4.17,excavators,9,
"Allia Bay, Kenya",KNM-ER 30750,Australopithecus,anamensis,teeth ,1996,,4.07,4.17,excavators,9,
"Allia Bay, Kenya",KNM-ER 35228,Australopithecus,anamensis,teeth ,1997,,4.07,4.17,excavators,9,
"Allia Bay, Kenya",KNM-ER 35231,Australopithecus,anamensis,teeth ,1997,,4.07,4.17,excavators,9,
"Allia Bay, Kenya",KNM-ER 35232,Australopithecus,anamensis,teeth ,1997,,4.07,4.17,excavators,9,
"Allia Bay, Kenya",KNM-ER 35233,Australopithecus,anamensis,teeth ,1997,,4.07,4.17,excavators,9,
"Allia Bay, Kenya",KNM-ER 35235,Australopithecus,anamensis,teeth ,1997,,4.07,4.17,excavators,9,
"Allia Bay, Kenya",KNM-ER 35236,Australopithecus,anamensis,teeth ,1997,,4.07,4.17,excavators,9,
"Allia Bay, Kenya",KNM-ER 35238,Australopithecus,anamensis,teeth ,1997,,4.07,4.17,excavators,9,
"Kanapoi, Kenya",KNM-KP 29283,Australopithecus,anamensis,teeth ,1997,,4.07,4.17,excavators,9,
"Kanapoi, Kenya",KNM-KP 29287,Australopithecus,anamensis,mandible,1994,,4.07,4.17,M. Leakey,9,
"Kanapoi, Kenya",KNM-KP 30498,Australopithecus,anamensis,maxilla,1995,,4.07,4.17,S. Ngui,9,
"Kanapoi, Kenya",KNM-KP 30500,Australopithecus,anamensis,mandible,1995,,4.07,4.17,K. Cheboi,9,
"Kanapoi, Kenya",KNM-KP 30503,Australopithecus,anamensis,mandible,1995,,4.07,4.17,W. Mangao,9,
"Kanapoi, Kenya",KNM-KP 31712,Australopithecus,anamensis,mandible,1996,,4.07,4.17,P. Nzube,9,
"Kanapoi, Kenya",KNM-KP 31713,Australopithecus,anamensis,mandible,1996,,4.07,4.17,W. Mangao,9,
"Kanapoi, Kenya",KNM-KP 31714,Australopithecus,anamensis,teeth ,1996,,4.07,4.17,P. Nzube,9,
"Kanapoi, Kenya",KNM-KP 31717,Australopithecus,anamensis,teeth ,1996,,4.07,4.17,P. Nzube,9,
"Kanapoi, Kenya",KNM-KP 31718,Australopithecus,anamensis,mandible,1996,,4.07,4.17,W. Mangao,9,
"Kanapoi, Kenya",KNM-KP 31723,Australopithecus,anamensis,teeth ,1996,,4.07,4.17,L. Moru,9,
"Kanapoi, Kenya",KNM-KP 31724,Australopithecus,anamensis,teeth ,1996,,4.07,4.17,F. Shrenk,9,
"Kanapoi, Kenya",KNM-KP 31726,Australopithecus,anamensis,teeth ,1996,,4.07,4.17,P. Nzube,9,
"Kanapoi, Kenya",KNM-KP 31727,Australopithecus,anamensis,teeth ,1996,,4.07,4.17,K. Kimeu,9,
"Kanapoi, Kenya",KNM-KP 31728,Australopithecus,anamensis,teeth ,1996,,4.07,4.17,W. Mangao,9,
"Kanapoi, Kenya",KNM-KP 31729,Australopithecus,anamensis,teeth ,1996,,4.07,4.17,W. Mangao,9,
"Kanapoi, Kenya",KNM-KP 31730,Australopithecus,anamensis,teeth ,1996,,4.07,4.17,N. Ewalan,9,
"Kanapoi, Kenya",KNM-KP 34725,Australopithecus,anamensis,teeth ,1996,,4.07,4.17,M. Muoka,9,
"Kanapoi, Kenya",KNM-KP 35858,Australopithecus,anamensis,teeth ,1997,,4.07,4.17,P. Nzube,9,
"Kanapoi, Kenya",KNM-KP 35839,Australopithecus,anamensis,teeth ,1997,,4.07,4.17,W. Mutwiwa,9,
"Kanapoi, Kenya",KNM-KP 35842,Australopithecus,anamensis,teeth ,1997,,4.07,4.17,"W. Mangao, sievers",9,
"Kanapoi, Kenya",KNM-KP 35843,Australopithecus,anamensis,teeth ,1997,,4.07,4.17,"W. Mangao, sievers",9,
"Kanapoi, Kenya",KNM-KP 35847,Australopithecus,anamensis,teeth ,1997,,4.07,4.17,"W. Mangao, sievers",9,
"Kanapoi, Kenya",KNM-KP 35852,Australopithecus,anamensis,teeth ,1997,,4.07,4.17,M. Eregai,9,
"Kanapoi, Kenya",KNM-KP 271,Australopithecus,anamensis,humerus,1965,,4.07,4.17,Bryan Patterson,8,
"Lake Baringo, Kenya",KNM?TH 13150,Australopithecus,anamensis,mandible,1984,,4.96,5.25,Kiptalam Cheboi,7,
