site_name,name,genus,species,body_part,year_found,likely_age,minimum_age,maximum_age,discoverers,citation_group,notes
"Pyrgos Vasilissis Amalia, Athens, Greece",type specimen,Graecopithecus,freybergi,mandible,1944,7.175,,,B. von Freyberg,1,name never explicitely given
"Azmaka, Chirpan, Bulgaria",RIM 438/387,Graecopithecus,freybergi,teeth ,2010,7.24,,,"N. Spassov, D. Geraads, L. Hristova, G.N. Markov, G. Merceron, T. Tzankov , K. Stoyanov, M. Böhme, A. Dimitrova",2,
"Djurab Desert, Chad",TM 266-01-060-1,Orrorin ,tugenensis,cranium,2001,,6,7,"Michel Brunet, Alain Beauvilain, Fanone Gongdibe, Mahamat Adoum and Ahounta Djimdoumalbaye",3,
"Djurab Desert, Chad",TM 266-01-060-2,Orrorin ,tugenensis,mandible,2001,,6,7,"Michel Brunet, Alain Beauvilain, Fanone Gongdibe, Mahamat Adoum and Ahounta Djimdoumalbaye",3,
"Djurab Desert, Chad",TM 266-01-447,Orrorin ,tugenensis,teeth ,2001,,6,7,"Michel Brunet, Alain Beauvilain, Fanone Gongdibe, Mahamat Adoum and Ahounta Djimdoumalbaye",3,
"Djurab Desert, Chad",TM 266-01-448,Orrorin ,tugenensis,teeth ,2001,,6,7,"Michel Brunet, Alain Beauvilain, Fanone Gongdibe, Mahamat Adoum and Ahounta Djimdoumalbaye",3,
"Djurab Desert, Chad",TM 266-02-154-1,Orrorin ,tugenensis,mandible,2002,,6,7,"Michel Brunet, Alain Beauvilain, Fanone Gongdibe, Mahamat Adoum and Ahounta Djimdoumalbaye",3,
"Djurab Desert, Chad",TM 266-02-154-2,Orrorin ,tugenensis,teeth ,2002,,6,7,"Michel Brunet, Alain Beauvilain, Fanone Gongdibe, Mahamat Adoum and Ahounta Djimdoumalbaye",3,
"middle awash, ethiopia",AME-VP-1/71,Ardipithicus,kadabba,foot,1999,,5.2,5.8,L. Hlusko,4,
"middle awash, ethiopia",ALA-VP-2/10,Ardipithicus,kadabba,mandible,1997,,5.2,5.8,Yohannes Haile-Selassie,4,
"middle awash, ethiopia",ALA-VP-2/11,Ardipithicus,kadabba,hand,1997,,5.2,5.8,S. Eschete,4,
